Регион,"Расход на прозвон","Расход на базы","Отправлено с базы на прозвон","Отправлено с БД на прозвон","Расход Прозвон + БД","Единичек пришло","Цена за единичку","Лидов менее 250 БД","Лидов менее 250","Всего лидов с прозвона","Всего лидов с прозвона БД","Всего лидов","Цена лида с прозвона","Потрачено на обработку БД","Общая цена лида","Лидов более 250","Лидов более 250 БД","Ручных лидов","Всего целевых","Цена целевого с прозвона","Цена целевого с БД","Общая цена платных","Общая цена целевых","Выгода с ручными","Прибыль с 1 лида","Прибыль со всех лидов","Прибыль со всех целевых","Лидов куплено на","Контактов на единичку","Прогноз конверсии в лид, %","Прогноз конверсии в целевой, %","БД конверсия в лид, %","БД конверсия в целевой, %"
"Алтайский край",0,0,0,1451,7552,22,0,40,8,17,96,113,82.82,6144,66.83,9,56,0,65,156.44,109.71,116.18,116.18,0,583.82,65971.14,37948,79100,0,77.27,40.91,6.62,3.86
"Амурская обл",0,0,0,1,384,5,0,1,2,2,1,3,160,64,128,0,0,0,0,0,0,0,0,0,700,2100,0,2100,0,40,0,100,0
"Архангельская обл",0,0,0,0,192,3,0,0,1,2,0,2,96,0,96,1,0,0,1,192,0,192,192,0,508,1016,508,1400,0,66.67,33.33,0,0
"Астраханская обл",0,0,0,148,2304,32,0,0,8,19,4,23,107.79,256,100.17,11,4,0,15,186.18,64,153.6,153.6,0,546.4,12567.2,8196,16100,0,59.38,34.38,2.7,2.7
"Белгородская обл",0,0,0,2974,7808,9,0,52,3,10,113,123,57.6,7232,63.48,7,61,0,68,82.29,118.56,114.82,114.82,0,585.18,71976.71,39792,86100,0,111.11,77.78,3.8,2.05
"Брянская обл",7825.75,0,0,542,12928,159,49.22,19,23,47,43,90,549.52,2752,230.6,24,24,0,48,1076.15,114.67,432.37,432.37,0,267.63,24086.72,12846.25,63000,0,29.56,15.09,7.93,4.43
"Владимирская обл",0,0,0,4,448,3,0,1,0,0,4,4,0,256,112,0,3,0,3,0,85.33,149.33,149.33,0,550.67,2202.67,1652,2800,0,0,0,100,75
"Волгоградская обл",3994.3,0,0,480,5568,52,76.81,17,15,21,35,56,538.89,2240,170.76,6,18,0,24,1886.1,124.44,398.43,398.43,0,301.57,16887.97,7237.7,39200,0,40.38,11.54,7.29,3.75
"Вологодская обл",0,0,0,2,384,5,0,0,2,3,1,4,106.67,64,96,1,1,0,2,320,64,192,192,0,508,2032,1016,2800,0,60,20,50,50
"Воронежская обл",0,0,0,1099,9920,105,0,17,8,35,50,85,192,3200,116.71,27,33,0,60,248.89,96.97,165.33,165.33,0,534.67,45446.67,32080,59500,0,33.33,25.71,4.55,3
"Еврейская Аобл",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0
"Забайкальский край",0,0,0,2339,4672,3,0,34,0,3,70,73,64,4480,64,3,36,0,39,64,124.44,119.79,119.79,0,580.21,42354.97,22628,51100,0,100,100,2.99,1.54
"Ивановская обл",0,0,0,2,512,6,0,1,0,0,2,2,0,128,256,0,1,0,1,0,128,512,512,0,188,376,188,1400,0,0,0,100,50
"Иркутская обл",0,0,0,2244,4096,6,0,21,2,3,58,61,128,3712,67.15,1,37,0,38,384,100.32,107.79,107.79,0,592.21,36124.84,22504,42700,0,50,16.67,2.58,1.65
"Калининградская обл",7123.35,0,0,1435,7232,79,90.17,8,18,33,34,67,584.93,2176,214.26,15,26,0,41,1286.85,83.69,350.13,350.13,0,349.87,23441.26,14344.65,46900,0,41.77,18.99,2.37,1.81
"Калужская обл",12859.4,0,4890,676,19072,253,50.83,15,43,88,45,133,476.26,2880,240.09,45,30,0,75,931.35,96,425.75,425.75,0,274.25,36474.98,20568.6,93100,19.33,34.78,17.79,6.66,4.44
"Камчатский край",0,0,0,0,64,1,0,0,1,1,0,1,64,0,64,0,0,0,0,0,0,0,0,0,700,700,0,700,0,100,0,0,0
"Кемеровская область - Кузбасс",0,0,0,2004,7616,36,0,42,9,14,83,97,164.57,5312,78.52,5,41,0,46,460.8,129.56,165.57,165.57,0,534.43,51840.17,24584,67900,0,38.89,13.89,4.14,2.05
"Кировская обл",4204.7,0,0,399,7808,92,45.7,11,15,41,30,71,348.72,1920,169.19,26,19,0,45,549.9,101.05,266.95,266.95,0,433.05,30746.63,19487.3,49700,0,44.57,28.26,7.52,4.76
"Костромская обл",0,0,0,4,384,4,0,1,3,4,2,6,64,128,64,1,1,0,2,256,128,192,192,0,508,3048,1016,4200,0,100,25,50,25
"Краснодарский край",0,0,0,3128,25920,260,0,52,24,87,145,232,191.26,9280,111.72,63,93,0,156,264.13,99.78,166.15,166.15,0,533.85,123852.31,83280,162400,0,33.46,24.23,4.64,2.97
"Красноярский край",0,0,0,930,7168,47,0,27,7,23,65,88,130.78,4160,81.45,16,38,0,54,188,109.47,132.74,132.74,0,567.26,49918.81,30632,61600,0,48.94,34.04,6.99,4.09
"Курганская обл",0,0,0,97,1344,21,0,0,3,8,0,8,168,0,168,5,0,0,5,268.8,0,268.8,268.8,0,431.2,3449.6,2156,5600,0,38.1,23.81,0,0
"Курская обл",0,0,0,1663,7808,32,0,35,5,20,90,110,102.4,5760,70.98,15,55,0,70,136.53,104.73,111.54,111.54,0,588.46,64730.29,41192,77000,0,62.5,46.88,5.41,3.31
"Ленинградская обл",1753.35,0,0,1474,23936,273,6.42,36,54,113,101,214,185.65,6464,120.04,59,65,1,125,355.57,99.45,207.17,205.51,1.66,584.49,125079.83,73060.65,169060,0,41.39,21.61,6.85,4.41
"Липецкая обл",0,0,0,2265,12032,121,0,20,20,72,67,139,107.56,4288,86.56,52,47,0,99,148.92,91.23,121.54,121.54,0,578.46,80406.59,57268,97300,0,59.5,42.98,2.96,2.08
"Магаданская обл",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0
"Московская обл",83594.95,0,0,5784,77632,815,102.57,122,89,263,398,661,834.03,25472,243.91,174,276,0,450,1260.63,92.29,358.28,358.28,0,431.72,285365.52,194273.05,522190,0,32.27,21.35,6.88,4.77
"Мурманская обл",0,0,0,232,960,6,0,0,1,4,9,13,96,576,73.85,3,9,0,12,128,64,80,80,0,620,8060,7440,9100,0,66.67,50,3.88,3.88
"Ненецкий АО",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0
"Нижегородская обл",0,0,0,501,6528,84,0,4,15,42,18,60,128,1152,108.8,27,14,0,41,199.11,82.29,159.22,159.22,0,540.78,32446.83,22172,42000,0,50,32.14,3.59,2.79
"Новгородская обл",0,0,0,2,384,4,0,1,0,2,2,4,128,128,96,2,1,0,3,128,128,128,128,0,572,2288,1716,2800,0,50,50,100,50
"Новосибирская обл",0,0,0,2441,17984,140,0,50,32,75,141,216,119.47,9024,83.26,43,91,0,134,208.37,99.16,134.21,134.21,0,565.79,122210.87,75816,151200,0,53.57,30.71,5.78,3.73
